order_id,order_date,day,order_hour,city,chai_type,size,quantity,unit_price,discount_percent,total_amount,payment_method,customer_type,order_mode,weather,temperature_c,customer_rating,prep_time_min,sugar_level,milk_type,repeat_customer
CHAI1030,2026-03-15,Sunday,18,Delhi,Kesar Chai,Small,1,45,0,45.0,UPI,Office Worker,Dine-in,Cloudy,22.4,4.0,7.2,No Sugar,Toned,No
CHAI1031,2026-04-10,Friday,20,Kota,Masala Chai,Large,2,45,10,81.0,UPI,Tourist,Dine-in,Cold,16.9,4.0,10.3,Less,No Milk,Yes
CHAI1032,2026-03-11,Wednesday,15,Kota,Kulhad Chai,Medium,1,45,0,45.0,Cash,Local,Delivery,Hot,32.3,4.0,3.2,Extra,Toned,No
CHAI1033,2026-02-16,Monday,11,Udaipur,Masala Chai,Small,1,25,0,25.0,UPI,Local,Dine-in,Cold,16.3,5.0,3.5,Normal,Toned,Yes
CHAI1034,2026-06-16,Tuesday,14,Pune,Masala Chai,Medium,4,35,0,140.0,Card,Other,Dine-in,Cloudy,27.4,4.0,11.4,Normal,Toned,Yes
CHAI1035,2026-02-11,Wednesday,8,Indore,Lemon Tea,Small,1,30,10,27.0,Cash,Local,Dine-in,Cloudy,26.5,4.0,9.3,Normal,Regular,Yes
CHAI1036,2026-03-30,Monday,13,Ahmedabad,Kulhad Chai,Medium,1,45,5,42.75,UPI,Local,Delivery,Sunny,35.5,5.0,9.4,Extra,Toned,No
CHAI1037,2026-06-07,Sunday,11,Indore,Chocolate Chai,Medium,3,60,0,180.0,UPI,Office Worker,Delivery,Sunny,34.6,4.0,9.9,Extra,Full Cream,Yes
CHAI1038,2026-05-07,Thursday,15,Indore,Green Tea,Small,1,40,15,34.0,UPI,Other,Takeaway,Rainy,18.1,3.0,9.5,Extra,Toned,No
CHAI1039,2026-06-15,Monday,12,Indore,Chocolate Chai,Medium,1,60,0,60.0,UPI,Office Worker,Dine-in,Hot,37.7,4.0,9.7,Normal,Full Cream,No
CHAI1040,2026-03-11,Wednesday,10,Pune,Lemon Tea,Small,1,30,0,30.0,UPI,Other,Delivery,Cloudy,22.4,5.0,11.8,Normal,Regular,Yes
CHAI1041,2026-03-17,Tuesday,17,Mumbai,Kesar Chai,Medium,1,55,0,55.0,UPI,Student,Takeaway,Cloudy,29.6,5.0,8.2,Extra,No Milk,No
CHAI1042,2026-03-29,Sunday,16,Udaipur,Elaichi Chai,Large,1,50,0,50.0,UPI,Student,Dine-in,Sunny,31.6,3.0,8.1,Normal,Regular,Yes
CHAI1043,2026-01-31,Saturday,11,Pune,Kulhad Chai,Medium,3,45,20,108.0,Cash,Local,Takeaway,Cold,16.6,4.0,10.0,No Sugar,Toned,Yes
CHAI1044,2026-03-09,Monday,14,Delhi,Adrak Chai,Small,1,25,0,25.0,upi,Local,Takeaway,Hot,35.5,5.0,9.3,Extra,Regular,Yes
CHAI1045,2026-03-09,Monday,19,Mumbai,Kesar Chai,Medium,2,55,10,99.0,Card,Office Worker,Dine-in,Cloudy,23.4,4.0,6.3,No Sugar,No Milk,No
CHAI1046,2026-06-29,Monday,18,Udaipur,Kulhad Chai,Large,2,55,0,110.0,UPI,Other,Dine-in,Cold,11.2,3.0,12.4,No Sugar,Full Cream,Yes
CHAI1047,2026-02-14,Saturday,8,Indore,Chocolate Chai,Medium,1,60,0,60.0,UPI,Other,Takeaway,Cold,12.7,4.0,3.9,Less,Full Cream,No
CHAI1048,2026-06-27,Saturday,19,Jaipur,Chocolate Chai,Small,4,50,0,200.0,UPI,Tourist,Dine-in,Sunny,28.9,5.0,11.0,Extra,No Milk,Yes
CHAI1049,2026-02-18,Wednesday,21,Udaipur,Green Tea,Medium,2,50,15,85.0,Cash,Office Worker,Dine-in,Cloudy,23.2,4.0,4.0,Less,Toned,No
CHAI1050,2026-05-22,Friday,14,Delhi,Masala Chai,Medium,1,35,0,35.0,UPI,Student,Takeaway,Cloudy,30.3,5.0,6.7,Extra,No Milk,Yes
CHAI1051,2026-04-27,Monday,12,Mumbai,Elaichi Chai,Medium,4,40,0,160.0,Card,Tourist,Takeaway,Cold,17.3,5.0,7.6,Normal,No Milk,Yes
CHAI1052,2026-04-25,Saturday,16,Kota,Chocolate Chai,Small,2,50,10,90.0,UPI,Tourist,Delivery,Cloudy,,4.0,6.6,Extra,No Milk,No
CHAI1053,2026-06-19,Friday,7,Ahmedabad,Elaichi Chai,Medium,1,40,0,40.0,Card,Local,Dine-in,Cold,15.2,5.0,4.4,Extra,Full Cream,No
CHAI1054,2026-06-09,Tuesday,16,Kota,Kulhad Chai,Medium,3,45,5,128.25,Wallet,Local,Delivery,Sunny,24.8,5.0,13.4,No Sugar,No Milk,Yes
CHAI1055,2026-06-12,Friday,13,Jaipur,Adrak Chai,Medium,2,35,0,70.0,UPI,Student,Dine-in,Rainy,19.5,4.0,10.8,Less,Toned,Yes
CHAI1056,2026-06-06,Saturday,21,Mumbai,Kulhad Chai,Medium,1,45,15,38.25,UPI,Tourist,Takeaway,Sunny,33.7,5.0,4.4,Extra,Full Cream,No
CHAI1057,2026-06-13,Saturday,10,Indore,Kulhad Chai,Medium,1,45,0,45.0,UPI,Local,Delivery,Sunny,28.6,4.0,9.3,No Sugar,No Milk,No
CHAI1058,2026-01-03,Saturday,10,Indore,Masala Chai,Large,2,45,5,85.5,Cash,Office Worker,Takeaway,Rainy,24.4,5.0,10.2,Less,Regular,Yes
CHAI1059,2026-03-21,Saturday,9,Mumbai,Chocolate Chai,Small,1,50,10,45.0,UPI,Tourist,Dine-in,Cold,10.0,5.0,6.3,Normal,Toned,No
CHAI1060,2026-05-04,Monday,20,Delhi,Lemon Tea,Medium,1,40,5,38.0,UPI,Student,Dine-in,Cloudy,27.4,4.0,10.6,Normal,Regular,No
CHAI1061,2026-01-04,Sunday,14,Indore,Lemon Tea,Medium,1,40,15,34.0,Cash,Tourist,Dine-in,Cloudy,20.3,4.0,11.2,Less,Regular,No
CHAI1062,2026-06-29,Monday,8,Jaipur,Lemon Tea,Medium,1,40,0,40.0,Card,Tourist,Delivery,Sunny,26.8,4.0,6.3,Extra,Toned,No
CHAI1063,2026-06-17,Wednesday,10,Indore,Adrak Chai,Large,2,45,0,90.0,UPI,Tourist,Dine-in,Cold,16.6,5.0,8.6,Normal,Regular,No
CHAI1064,2026-03-12,Thursday,7,Udaipur,Kesar Chai,Large,4,65,0,260.0,UPI,Office Worker,Takeaway,Hot,32.6,5.0,12.2,Less,Regular,Yes
CHAI1065,2026-05-31,Sunday,9,Mumbai,Kesar Chai,Large,1,65,10,58.5,Cash,Other,Dine-in,Cloudy,25.9,3.0,10.8,Less,Regular,No
CHAI1066,2026-03-02,Monday,14,Mumbai,Green Tea,Small,1,40,0,40.0,Cash,Other,Dine-in,Sunny,29.4,4.0,7.1,Less,Regular,No
CHAI1067,2026-04-28,Tuesday,8,Kota,Masala Chai,Small,1,25,0,25.0,UPI,Student,Takeaway,Cold,17.0,3.0,4.1,Normal,No Milk,No
CHAI1068,2026-04-27,Monday,13,Pune,Kulhad Chai,Small,2,35,0,70.0,UPI,Office Worker,Dine-in,Cold,12.2,4.0,9.7,Normal,Toned,No
CHAI1069,2026-01-18,Sunday,7,Delhi,Adrak Chai,Large,1,45,0,45.0,Cash,Tourist,Takeaway,Hot,39.0,4.0,4.1,Normal,No Milk,Yes
CHAI1070,2026-03-15,Sunday,12,Pune,Lemon Tea,Medium,2,40,0,80.0,UPI,Local,Dine-in,Sunny,34.1,5.0,8.9,Extra,,No
CHAI1071,2026-01-08,Thursday,17,Ahmedabad,Elaichi Chai,Small,2,30,0,60.0,UPI,Office Worker,Delivery,Hot,36.8,5.0,4.0,Less,No Milk,No
CHAI1072,2026-04-27,Monday,9,Ahmedabad,Green Tea,Small,1,40,5,38.0,Cash,Other,Takeaway,Sunny,25.9,5.0,5.4,Extra,No Milk,No
CHAI1073,2026-04-17,Friday,14,Ahmedabad,Lemon Tea,Small,2,30,0,60.0,UPI,Tourist,Takeaway,Hot,38.3,,12.6,No Sugar,Regular,Yes
CHAI1074,2026-03-19,Thursday,9,Indore,Kesar Chai,Medium,2,55,0,110.0,UPI,Student,Takeaway,Cold,9.3,4.0,8.7,Normal,Regular,No
CHAI1075,2026-01-11,Sunday,11,Ahmedabad,Kulhad Chai,Small,4,35,0,140.0,cash,Other,Dine-in,Cold,9.2,4.0,12.3,Extra,Full Cream,Yes
CHAI1076,2026-04-22,Wednesday,12,Delhi,Adrak Chai,Small,2,25,0,50.0,UPI,Tourist,Takeaway,Cloudy,28.6,5.0,8.5,Less,Full Cream,No
CHAI1077,2026-06-15,Monday,9,Pune,Elaichi Chai,Small,1,30,5,28.5,UPI,Office Worker,Takeaway,Sunny,35.4,4.0,8.1,Extra,Full Cream,No
CHAI1078,2026-02-08,Sunday,8,Indore,Chocolate Chai,Small,1,50,0,50.0,Cash,Other,Dine-in,Hot,35.7,2.0,10.5,No Sugar,Regular,No
CHAI1079,2026-04-29,Wednesday,14,Pune,Masala Chai,Medium,3,35,15,89.25,UPI,Local,Takeaway,Sunny,25.2,4.0,10.8,Less,Regular,Yes
CHAI1080,2026-04-23,Thursday,17,Ahmedabad,Chocolate Chai,Medium,2,60,10,108.0,UPI,Tourist,Dine-in,Rainy,24.0,5.0,4.3,No Sugar,No Milk,No
CHAI1081,2026-03-06,Friday,9,Mumbai,Elaichi Chai,Small,2,30,15,51.0,Card,Tourist,Delivery,Cold,14.0,4.0,7.1,Normal,Toned,Yes
CHAI1082,2026-06-15,Monday,10,Indore,Kulhad Chai,Medium,1,45,0,45.0,UPI,Office Worker,Dine-in,Cold,10.3,,10.6,No Sugar,Regular,No
CHAI1083,2026-06-08,Monday,18,Mumbai,Elaichi Chai,Medium,1,40,0,40.0,Card,Other,Takeaway,Cloudy,24.8,5.0,5.1,Extra,Full Cream,No
CHAI1084,2026-03-01,Sunday,14,Udaipur,Kesar Chai,Small,3,45,0,135.0,Card,Office Worker,Dine-in,Hot,37.5,4.0,9.1,Less,Toned,Yes
CHAI1085,2026-03-06,Friday,8,Delhi,Masala Chai,Medium,3,35,0,105.0,Cash,Other,Delivery,Rainy,25.6,5.0,5.7,Extra,Regular,Yes
CHAI1086,2026-04-26,Sunday,12,Kota,Green Tea,Large,1,60,0,60.0,UPI,Office Worker,Dine-in,Sunny,26.7,3.0,9.4,Normal,Toned,Yes
CHAI1087,2026-01-10,Saturday,21,Mumbai,Lemon Tea,Large,1,50,0,50.0,Cash,Local,Takeaway,Sunny,25.0,5.0,7.9,Extra,Regular,No
CHAI1088,2026-03-02,Monday,17,Udaipur,Lemon Tea,Small,1,30,0,30.0,UPI,Local,Takeaway,Sunny,30.2,3.0,6.9,Normal,Toned,No
CHAI1089,2026-02-17,Tuesday,12,Jaipur,Adrak Chai,Medium,1,35,0,35.0,UPI,Local,Dine-in,Cold,10.5,5.0,6.1,No Sugar,Full Cream,Yes
CHAI1090,2026-01-12,Monday,17,Mumbai,Green Tea,Medium,3,50,0,150.0,Card,Local,Delivery,Cold,9.8,5.0,12.9,No Sugar,Full Cream,Yes
CHAI1091,2026-01-12,Monday,19,Indore,Kesar Chai,Large,1,65,0,65.0,UPI,Other,Takeaway,Sunny,31.8,5.0,3.4,Normal,Full Cream,Yes
CHAI1092,2026-04-05,Sunday,12,Kota,Kulhad Chai,Large,2,55,0,110.0,UPI,Office Worker,Takeaway,Cold,17.2,5.0,10.2,No Sugar,No Milk,Yes
CHAI1093,2026-05-20,Wednesday,18,Indore,Lemon Tea,Small,1,30,0,30.0,UPI,Other,Takeaway,Cloudy,24.9,5.0,11.2,Extra,Full Cream,Yes
CHAI1094,2026-01-20,Tuesday,7,Mumbai,Kulhad Chai,Medium,3,45,0,135.0,Wallet,Office Worker,Delivery,Cold,9.3,5.0,7.7,No Sugar,Toned,No
CHAI1095,2026-04-05,Sunday,10,Mumbai,Green Tea,Medium,1,50,0,50.0,Cash,Local,Dine-in,Rainy,27.6,3.0,7.7,No Sugar,Full Cream,No
CHAI1096,2026-06-30,Tuesday,9,Udaipur,Chocolate Chai,Small,2,50,0,100.0,UPI,Office Worker,Delivery,Cold,17.0,3.0,9.8,Normal,Full Cream,Yes
CHAI1097,2026-05-21,Thursday,19,Mumbai,Lemon Tea,Large,3,50,10,135.0,Cash,Other,Dine-in,Cloudy,21.5,2.0,9.4,Normal,No Milk,Yes
CHAI1098,2026-06-06,Saturday,9,Udaipur,Adrak Chai,Small,1,25,5,23.75,Cash,Local,Delivery,Sunny,35.7,4.0,9.1,Normal,Toned,Yes
CHAI1099,2026-02-03,Tuesday,21,Delhi,Kulhad Chai,Medium,3,45,0,135.0,UPI,Tourist,Dine-in,Rainy,25.1,5.0,12.5,No Sugar,Full Cream,Yes
CHAI1100,2026-06-12,Friday,9,Delhi,Lemon Tea,Small,1,30,5,28.5,UPI,Office Worker,Takeaway,Hot,34.1,5.0,6.0,No Sugar,Regular,Yes
CHAI1101,2026-01-12,Monday,11,Kota,Lemon Tea,Medium,2,40,0,80.0,Cash,Student,Takeaway,Hot,39.7,4.0,11.0,Extra,Full Cream,No
CHAI1102,2026-01-19,Monday,18,Udaipur,Masala Chai,Small,1,25,0,25.0,UPI,Other,Dine-in,Rainy,27.9,4.0,9.8,No Sugar,Full Cream,Yes
CHAI1103,2026-04-30,Thursday,10,Delhi,Adrak Chai,Small,1,25,15,21.25,UPI,Local,Delivery,Cold,17.6,5.0,11.4,Normal,Toned,Yes
CHAI1104,2026-05-08,Friday,10,Jaipur,Chocolate Chai,Medium,1,60,0,60.0,UPI,Local,Takeaway,Cloudy,26.4,4.0,8.4,Extra,Full Cream,Yes
CHAI1105,2026-01-28,Wednesday,16,Ahmedabad,Kulhad Chai,Small,1,35,0,35.0,Cash,Tourist,Dine-in,Sunny,30.7,4.0,6.5,Extra,Full Cream,Yes
CHAI1106,2026-02-02,Monday,16,Ahmedabad,Adrak Chai,Medium,3,35,0,105.0,Cash,Tourist,Takeaway,Cloudy,25.6,2.0,5.6,Normal,No Milk,No
CHAI1107,2026-02-08,Sunday,16,Mumbai,Elaichi Chai,Small,2,30,10,54.0,UPI,Other,Takeaway,Rainy,21.4,4.0,10.1,Normal,No Milk,Yes
CHAI1108,2026-04-05,Sunday,17,Indore,Green Tea,Medium,5,50,10,225.0,Cash,Student,Takeaway,Rainy,25.8,4.0,12.3,Extra,Toned,No
CHAI1109,2026-02-07,Saturday,13,Delhi,Kesar Chai,Small,4,45,0,180.0,UPI,Local,Dine-in,Cloudy,27.6,5.0,13.4,No Sugar,Toned,Yes
CHAI1110,2026-05-24,Sunday,12,Kota,Green Tea,Large,1,60,5,57.0,UPI,Office Worker,Takeaway,Hot,38.6,5.0,9.1,Normal,No Milk,Yes
CHAI1111,2026-03-05,Thursday,12,Indore,Lemon Tea,Medium,1,40,0,40.0,Cash,Office Worker,Takeaway,Cold,12.8,5.0,9.5,Normal,Regular,No
CHAI1112,2026-04-12,Sunday,17,Indore,Green Tea,Large,3,60,0,180.0,UPI,Student,Dine-in,Cold,10.6,4.0,9.2,Normal,Toned,Yes
CHAI1113,2026-06-07,Sunday,18,Pune,Kesar Chai,Small,2,45,5,85.5,Cash,Student,Dine-in,Rainy,22.7,3.0,12.4,Less,No Milk,No
CHAI1114,2026-05-03,Sunday,15,Indore,Kesar Chai,Medium,1,55,10,49.5,Cash,Student,Takeaway,Cloudy,28.1,2.0,11.3,Extra,Toned,Yes
CHAI1115,2026-04-12,Sunday,8,Indore,Chocolate Chai,Small,2,50,0,100.0,Card,Student,Dine-in,Hot,43.1,4.0,9.5,Extra,Toned,No
CHAI1116,2026-03-11,Wednesday,19,Udaipur,Kesar Chai,Large,1,65,5,61.75,Cash,Office Worker,Dine-in,Rainy,21.0,3.0,8.5,Extra,No Milk,No
CHAI1117,2026-01-23,Friday,10,Mumbai,Kulhad Chai,Medium,1,45,0,45.0,UPI,Office Worker,Dine-in,Cold,12.5,4.0,8.2,No Sugar,Full Cream,No
CHAI1118,2026-06-27,Saturday,18,Indore,Kesar Chai,Small,1,45,15,38.25,UPI,Other,Delivery,Rainy,19.2,4.0,8.5,Less,Toned,No
CHAI1119,2026-02-09,Monday,19,Kota,Chocolate Chai,Medium,2,60,10,108.0,Cash,Local,Takeaway,Cloudy,22.7,5.0,4.4,Extra,Full Cream,Yes
CHAI1120,2026-05-25,Monday,14,Pune,Adrak Chai,Small,2,25,0,50.0,Cash,Office Worker,Dine-in,Hot,33.4,4.0,4.5,Extra,Regular,No
CHAI1121,2026-02-03,Tuesday,11,Udaipur,Kulhad Chai,Medium,1,45,10,40.5,Cash,Tourist,Takeaway,Cold,16.2,4.0,3.4,Normal,Regular,Yes
CHAI1122,2026-01-18,Sunday,14,Mumbai,Chocolate Chai,Small,1,50,15,42.5,Cash,Local,Dine-in,Cold,16.7,4.0,9.1,Less,Full Cream,Yes
CHAI1123,2026-02-15,Sunday,17,Pune,Kulhad Chai,Medium,2,45,0,90.0,Card,Student,Delivery,Cold,15.2,4.0,5.8,Extra,Full Cream,Yes
CHAI1124,2026-03-12,Thursday,10,Delhi,Kesar Chai,Large,2,65,0,130.0,UPI,Local,Takeaway,Sunny,26.5,2.0,9.1,No Sugar,Toned,Yes
CHAI1125,2026-04-13,Monday,12,Jaipur,Chocolate Chai,Small,1,50,10,45.0,UPI,Tourist,Dine-in,Hot,38.9,5.0,5.1,Less,Toned,No
CHAI1126,2026-03-18,Wednesday,12,Mumbai,Lemon Tea,Small,4,30,5,114.0,Cash,Local,Takeaway,Sunny,35.3,5.0,8.0,Extra,No Milk,Yes
CHAI1127,2026-03-18,Wednesday,19,Pune,Kulhad Chai,Small,2,35,0,70.0,Card,Tourist,Delivery,Cloudy,25.1,4.0,7.4,Less,No Milk,Yes
CHAI1128,2026-03-07,Saturday,7,Udaipur,Kesar Chai,Small,1,45,5,42.75,Card,Student,Takeaway,Cloudy,23.0,4.0,10.9,Less,Toned,No
CHAI1129,2026-02-23,Monday,21,Pune,Green Tea,Small,3,40,5,114.0,Card,Student,Takeaway,Cold,10.4,4.0,12.6,Normal,Full Cream,No
CHAI1130,2026-04-30,Thursday,21,Udaipur,Green Tea,Small,1,40,0,40.0,UPI,Local,Takeaway,Rainy,20.0,2.0,10.8,Less,Regular,No
CHAI1131,2026-05-22,Friday,11,Pune,Kulhad Chai,Small,1,35,0,35.0,UPI,Office Worker,Takeaway,Rainy,25.6,5.0,9.7,Extra,Toned,No
CHAI1132,2026-02-13,Friday,19,Jaipur,Elaichi Chai,Medium,2,40,0,80.0,Cash,Student,Delivery,Sunny,24.1,,4.3,Less,Regular,Yes
CHAI1133,2026-05-10,Sunday,13,Udaipur,Chocolate Chai,Medium,2,60,0,120.0,Cash,Student,Dine-in,Hot,32.1,4.0,12.5,No Sugar,No Milk,Yes
CHAI1134,2026-01-28,Wednesday,12,Indore,Adrak Chai,Medium,1,35,0,35.0,Card,Tourist,Takeaway,Sunny,35.5,4.0,9.3,Normal,Regular,Yes
CHAI1135,2026-01-24,Saturday,17,Jaipur,Kulhad Chai,Medium,2,45,0,90.0,Cash,Office Worker,Dine-in,Cold,15.8,5.0,4.6,No Sugar,Toned,Yes
CHAI1136,2026-06-27,Saturday,21,Indore,Chocolate Chai,Small,4,50,0,200.0,Card,Other,Takeaway,Cloudy,29.4,4.0,6.4,Extra,Regular,No
CHAI1137,2026-02-11,Wednesday,15,Ahmedabad,Kesar Chai,Medium,3,55,0,165.0,UPI,Office Worker,Takeaway,Sunny,32.9,3.0,6.5,No Sugar,Full Cream,No
CHAI1138,2026-03-25,Wednesday,13,Udaipur,Masala Chai,Medium,3,35,5,99.75,UPI,Tourist,Takeaway,Cold,9.9,4.0,11.3,Normal,,Yes
CHAI1139,2026-01-22,Thursday,7,Mumbai,Lemon Tea,Small,2,30,0,60.0,Cash,Tourist,Dine-in,Sunny,35.3,5.0,4.6,No Sugar,Toned,No
CHAI1140,2026-04-25,Saturday,11,Delhi,Kulhad Chai,Small,1,35,10,31.5,Cash,Tourist,Delivery,Sunny,29.0,5.0,8.0,Less,Toned,No
CHAI1141,2026-02-13,Friday,14,Mumbai,Elaichi Chai,Small,1,30,0,30.0,UPI,Local,Dine-in,Rainy,25.8,5.0,9.5,Extra,Toned,No
CHAI1142,2026-01-28,Wednesday,14,Ahmedabad,Elaichi Chai,Small,4,30,10,108.0,Card,Local,Takeaway,Rainy,21.3,5.0,13.9,Less,Full Cream,No
CHAI1143,2026-06-04,Thursday,16,Kota,Kesar Chai,Medium,1,55,0,55.0,Wallet,Tourist,Takeaway,Cold,15.8,4.0,10.1,Normal,Regular,Yes
CHAI1144,2026-06-01,Monday,20,Udaipur,Elaichi Chai,Medium,2,40,10,72.0,Card,Office Worker,Takeaway,Rainy,24.9,5.0,7.4,Extra,Toned,No
CHAI1145,2026-03-03,Tuesday,15,Kota,Lemon Tea,Medium,2,40,15,68.0,UPI,Other,Takeaway,Cold,13.1,5.0,8.6,Normal,Regular,Yes
CHAI1146,2026-03-05,Thursday,8,Kota,Green Tea,Small,2,40,0,80.0,Wallet,Tourist,Delivery,Cold,8.1,4.0,8.4,Less,No Milk,No
CHAI1147,2026-04-11,Saturday,13,Mumbai,Chocolate Chai,Medium,2,60,0,120.0,UPI,Student,Takeaway,Rainy,27.2,5.0,10.3,Normal,Full Cream,No
CHAI1148,2026-04-27,Monday,7,Delhi,Kesar Chai,Medium,1,55,0,55.0,UPI,Local,Dine-in,Rainy,26.1,5.0,8.8,Less,Toned,Yes
CHAI1149,2026-05-22,Friday,17,Udaipur,Elaichi Chai,Small,1,30,0,30.0,UPI,Local,Takeaway,Cloudy,27.2,5.0,10.9,Extra,No Milk,No
CHAI1150,2026-01-02,Friday,10,Delhi,Kesar Chai,Small,2,45,0,90.0,Cash,Other,Dine-in,Rainy,22.6,5.0,8.4,Normal,No Milk,No
CHAI1151,2026-05-31,Sunday,8,Mumbai,Adrak Chai,Small,3,25,0,75.0,Card,Tourist,Delivery,Hot,40.1,4.0,5.5,Normal,Toned,No
CHAI1152,2026-04-18,Saturday,11,Udaipur,Elaichi Chai,Medium,1,40,0,40.0,Cash,Office Worker,Takeaway,Cold,9.4,4.0,3.5,Normal,Regular,No
CHAI1153,2026-02-04,Wednesday,14,Udaipur,Kesar Chai,Large,4,65,0,260.0,UPI,Local,Dine-in,Cold,9.7,5.0,7.1,No Sugar,Full Cream,Yes
